"LIBRARYREFERENCE","FOOTPRINT1","CASE/PACKAGE","COLOR","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","CONNECTOR TYPE","CONTACT MATERIAL","CONTACT MATING LENGTH","CONTACT PLATING","DATASHEET LINK","DEPTH","GENDER","GEOMETRY.HEIGHT","HEIGHT","HIGH LEVEL OUTPUT CURRENT","HOUSING COLOR","HOUSING MATERIAL","LEAD FREE","LENGTH","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER_NAME","MAX CURRENT RATING","MAX OPERATING TEMPERATURE","MAX POWER DISSIPATION","MAX SUPPLY VOLTAGE","MAX VOLTAGE RATING (AC)","MIN OPERATING TEMPERATURE","MIN SUPPLY VOLTAGE","MOUNT","MOUSER PART NUMBER","MOUSER PRICE/STOCK","NCM","NUMBER OF BITS","NUMBER OF BITS PER ELEMENT","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF CONTACTS","NUMBER OF ELEMENTS","NUMBER OF GATES","NUMBER OF INPUT LINES","NUMBER OF INPUTS","NUMBER OF OUTPUT LINES","NUMBER OF OUTPUTS","NUMBER OF PINS","NUMBER OF POSITIONS","NUMBER OF ROWS","ORIENTATION","PACKAGE QUANTITY","PACKAGING","PARTNUMBER","PITCH","POLARITY","PRICING 1","PROPAGATION DELAY","QUIESCENT CURRENT","RADIATION HARDENING","REACH SVHC","RS PART NUMBER","RS PRICE/STOCK","STOCK 1","SUPPLIER 1","SUPPLIER PART NUMBER 1","TERMINATION","TURN-ON DELAY TIME","VALUE","WIDTH","SHEETPART","DESIGNATOR","DESCRIPTION"
"Cap_Cer_X7R_0.1uF_25V_0805","0805","","","0.1uF/25V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8532.24.10","","","","","","","","","","","","","","","","","","CC0805KRX7R8BB104","","","","","","","","","","","","","","","","","","C?","CAP CER 0.1UF 25V 10% X7R 0805"
"Cap_Cer_X7R_100nF_50V_0603","0805","","","100nF/50V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8532.24.10","","","","","","","","","","","","","","","","","","C0603C104K5RAC3121","","","","","","","","","","","","","","","","","","C?","CAP CER 100nF 50V 0603 10%"
"Cap_Cer_X7R_4.7uF_25V_0805","0805","","","4.7uF/25V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8532.24.10","","","","","","","","","","","","","","","","","","C0805C475K3RACAUTO","","","","","","","","","","","","","","","","","","C?","CAP CER 4.7UF 25V 10% X7R 0805"
"Cap_Tant_SMD_10uF_10V_0805","CC0805_Tantalum","","","10uF/10V","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8532.21.11","","","","","","","","","","","","","","","","","","TPSP106M010R2000","","","","","","","","","","","","","","","","","","C?","CAP Tantalum 10uF 10V 20% 0805"
"FSI-110-03-G-D-AD","Mating FSI-110-03-G-D-AD","","","FSI-110-03-G-D-AD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FSI-110-03-G-D-AD","","","","","","","","","","","","","","","*","","*","J?",""
"HEADER 2x","HDR 1X2","","Black","*","http://www.samtec.com/ftppub/pdf/htsw_th.pdf?src-supplier=Avnet","http://www.samtec.com/ftppub/pdf/htsw_th.pdf?src-supplier=Avnet","http://suddendocs.samtec.com/prints/tsw-xxx-xx-x-x-xx-xxx-footprint.pdf?src-supplier=Digi-Key","http://suddendocs.samtec.com/prints/tsw-xxx-xx-x-x-xx-xxx-footprint.pdf?src-supplier=Digi-Key","","","","","Male Pin","Bronze","0.23inch","Gold","","9.9mm","Male","","","","Black","Polyester","Lead Free","5.08mm","","","Samtec","TSW-102-08-G-S-RA","","7.6A","125°C","","","450V","-55°C","","","","","","","","","","2","","","","","","","","2","1","Right Angle","1","Bulk","","2.54mm","","1=0.28, 10=0.269, 25=0.2304, 50=0.1958, 100=0.1882, 250=0.16896, 500=0.16128 (USD)","","","No","No SVHC","","","1298","Digi-Key","SAM1039-02-ND","Solder","","","2.54mm","*","*","Conn Unshrouded Header HDR 2 POS 2.54mm Solder RA Thru-Hole Automotive Bulk"
"HEADER 3x","Header1x3","","Black","*","http://www.samtec.com/ftppub/pdf/htsw_th.pdf?src-supplier=Avnet+Europe","http://www.samtec.com/ftppub/pdf/htsw_th.pdf?src-supplier=Avnet+Europe","http://www.samtec.com/ftppub/pdf/htsw_th.pdf?src-supplier=Avnet","http://www.samtec.com/ftppub/pdf/htsw_th.pdf?src-supplier=Avnet","http://suddendocs.samtec.com/prints/tsw-xxx-xx-x-x-xx-xxx-footprint.pdf?src-supplier=Digi-Key","http://suddendocs.samtec.com/prints/tsw-xxx-xx-x-x-xx-xxx-footprint.pdf?src-supplier=Digi-Key","","","Male Pin","Bronze","0.23inch","Gold","","9.9mm","Male","","","","Black","Polyester","Lead Free","7.62mm","","","Samtec","TSW-103-08-G-S-RA","","7.6A","125°C","","","450V","-55°C","","","","","","","","","","3","","","","","","","","3","1","Right Angle","1","Bulk","","2.54mm","","1=0.43, 10=0.403, 25=0.3456, 50=0.2938, 100=0.2822, 250=0.25344, 500=0.24192 (USD)","","","No","No SVHC","","","2118","Digi-Key","SAM1039-03-ND","Solder","","","2.54mm","*","*","Conn Unshrouded Header HDR 3 POS 2.54mm Solder RA Thru-Hole Automotive Bulk"
"LED/G_0805","0805-LED","","","DNP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8541.40.21","","","","","","","","","","","","","","","","","","LTST-C171GKT","","","","","","","","","","","","","","","","","","D?","SMD Green LED"
"LED/R_0603","0805-LED","","","Orange","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8541.40.21","","","","","","","","","","","","","","","","","","LTST-C170KFKT","","","","","","","","","","","","","","","","","","D?","SMD Orange LED"
"MT25QL01GBBB8ESF-0SIT","SOIC127P1032X265-16N","","","MT25QL01GBBB8ESF-0SIT","","","","","","","","","","","","","https://www.micron.com/~/media/documents/products/data-sheet/nor-flash/serial-nor/mt25q/die-rev-b/mt25q_qlkt_l_01g_bbb_0.pdf","","","2.65mm","","","","","","","","","","","Micron","","","","","","","","","340-278808-TRAY","https://www.mouser.com/Search/Refine.aspx?Keyword=340-278808-TRAY","","","","","","","","","","","","","","","","","","","MT25QL01GBBB8ESF-0SIT","","","","","","","","*","*","","","","","","","","*","U?","IC FLASH 1GBIT 108MHZ 16SOIC"
"MicroSD_Card_Connector","uSD_Card","","","=Partnumber","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8536.90.40","","","","","","","","","","","","","","","","","","WM12834CT-ND","","","","","","","","","","","","","","","","","","SC?","MicroSD CARD Connector"
"R0R_JUMPER_1/16W_0805","0805","","","0R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8533.21.20","","","","","","","","","","","","","","","","","","CRCW08050000Z0EA","","","","","","","","","","","","","","","","","","J_V?","RES 0R OHM 1/16W JUMPER 0805"
"R100k_1%_1/8W_0805","0805","","","100k","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8533.21.20","","","","","","","","","","","","","","","","","","AC0805FR-13100KL","","","","","","","","","","","","","","","","","","R?","RES 100K OHM 1/8W 1% 0805"
"R10k_1%_1/8W_0805","0805","","","10k","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8533.21.20","","","","","","","","","","","","","","","","","","CRCW080510K0FKEA","","","","","","","","","","","","","","","","","","R?","RES 10K OHM 1/8W 1%  0805"
"R330R_1%_1/4W_0805","0805","","","330R","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8533.21.20","","","","","","","","","","","","","","","","","","RC0805FR-07330RL","","","","","","","","","","","","","","","","","","R?","RES 330R OHM 1/4W 1% 0805"
"SN74LVC125APWR","SN74LVC125APWR","TSSOP","","*","http://www.ti.com/lit/ds/symlink/sn74lvc125a.pdf?src-supplier=Digi-Key","http://www.ti.com/lit/ds/symlink/sn74lvc125a.pdf?src-supplier=Digi-Key","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN74LVC125A&&fileType=pdf&src-supplier=Avnet","http://www.ti.com/general/docs/lit/getliterature.tsp?genericPartNumber=SN74LVC125A&&fileType=pdf&src-supplier=Avnet","http://www.farnell.com/datasheets/1764352.pdf?src-supplier=Element14","http://www.farnell.com/datasheets/1764352.pdf?src-supplier=Element14","http://www.produktinfo.conrad.com/datenblaetter/1000000-1099999/001017107-da-01-en-IC_BUS_BUF_Q_SN74LVC125APWR_TSSOP_14_TID.pdf?src-supplier=Conrad","http://www.produktinfo.conrad.com/datenblaetter/1000000-1099999/001017107-da-01-en-IC_BUS_BUF_Q_SN74LVC125APWR_TSSOP_14_TID.pdf?src-supplier=Conrad","","","","Gold","","","","","1.15mm","-24mA","","","Lead Free","5mm","Buffer,Inverting","24mA","Texas Instruments","SN74LVC125APWR","","","125°C","500mW","3.6V","","-40°C","1.65V","Surface Mount","","","","4","1","4","4","","4","4","4","4","3","4","14","","","","1","Tape and Reel","","","Non-Inverting","1=0.47, 10=0.352, 25=0.3172, 100=0.2192, 250=0.18456, 500=0.14996, 1000=0.11536 (USD)","4.6ns","1uA","No","No SVHC","","","45045","Digi-Key","296-1222-1-ND","SMD/SMT","5.3ns","","4.4mm","*","*","IC BUF NON-INVERT 3.6V 14TSSOP"
"TEST_POINT_2","TEST_POINT_2","","","TEST_POINT_2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TP?","Test point"
